sigma,S,episodes_per_model,ci_halfwidth_p50,ci_halfwidth_p90,power_H3_lower_d10_pooled,power_H3_lower_d05_pooled,power_H3_judged_d10_pooled,power_audit_one_model_p50_d20,power_audit_one_model_p90_d15,power_model_gap_15
0.5,10,80,0.11881043435730934,0.06728044196794197,1.0,0.6866666666666666,0.9866666666666667,0.4866666666666667,0.4633333333333333,0.66
0.5,15,120,0.0969660037681958,0.05325910967948974,1.0,0.8066666666666666,1.0,0.6733333333333333,0.6566666666666666,0.88
0.5,20,160,0.0879630951135622,0.04619129053418494,1.0,0.9233333333333333,1.0,0.7266666666666667,0.75,0.9666666666666667
0.5,30,240,0.07171813589559646,0.04062664836181265,1.0,0.9866666666666667,1.0,0.9,0.8966666666666666,0.99
0.5,40,320,0.06089825345681213,0.03525125711525412,1.0,0.9966666666666667,1.0,0.9533333333333334,0.96,1.0
0.9,10,80,0.13873203762756564,0.08053196390716763,1.0,0.6866666666666666,0.9933333333333333,0.4166666666666667,0.44333333333333336,0.5633333333333334
0.9,15,120,0.11920032734099889,0.06608329329043089,1.0,0.8333333333333334,1.0,0.5866666666666667,0.6833333333333333,0.76
0.9,20,160,0.10494139620657647,0.05958483968043363,1.0,0.9366666666666666,1.0,0.7133333333333334,0.7133333333333334,0.9066666666666666
0.9,30,240,0.08603215684828515,0.05063839728370623,1.0,0.9933333333333333,1.0,0.8833333333333333,0.9,0.97
0.9,40,320,0.07393663871553158,0.04435774043658661,1.0,0.9966666666666667,1.0,0.94,0.9666666666666667,0.9966666666666667
